0.5	-315.7829586	-315.9284968	-315.9222785
0.52	-317.0229827	-317.1679451	-317.1618796
0.54	-318.0866156	-318.2313726	-318.2253974
0.56	-319.0012827	-319.1461671	-319.1402265
0.58	-319.7899002	-319.9352147	-319.9292599
0.6	-320.471678	-320.6177059	-320.611694
0.62	-321.0627766	-321.2098006	-321.2036928
0.64	-321.576864	-321.7252038	-321.7189589
0.66	-322.0256192	-322.1757237	-322.1692838
0.68	-322.4192777	-322.5720054	-322.5652403
0.7	-322.7674937	-322.925189	-322.9176278
0.72	-323.0815192	-323.2527986	-323.2421334
0.74	-323.379602	-323.5894026	-323.5679921
0.76	-323.6861488	-323.9253123	-323.9079346
0.78	-324.2219834	-324.4569246	-324.4407089
0.8	-324.5858849	-324.8122106	-324.7978267
0.82	-324.9206213	-325.1425104	-325.1289832
0.84	-325.2253868	-325.444835	-325.4317506
0.86	-325.5014543	-325.7194818	-325.7066516
0.88	-325.7508341	-325.9680165	-325.9553421
0.9	-325.9757459	-326.1924351	-326.1798589
0.92	-326.1783982	-326.3948229	-326.3823077
0.94	-326.3608932	-326.5772085	-326.5647285
0.96	-326.5251865	-326.7415014	-326.729038
0.98	-326.6730741	-326.8894669	-326.8770059
1	-326.806192	-327.0227203	-327.0102506
1.02	-326.9260228	-327.1427297	-327.1302428
1.04	-327.0339058	-327.2508244	-327.2383131
1.06	-327.1310481	-327.3482043	-327.3356629
1.08	-327.2185359	-327.4359509	-327.4233744
1.1	-327.2973463	-327.5150381	-327.5024223
1.12	-327.3683572	-327.5863419	-327.5736833
1.14	-327.4323575	-327.6506507	-327.637946
1.16	-327.490056	-327.7086734	-327.6959196
1.18	-327.5420891	-327.7610474	-327.7482417
1.2	-327.5890285	-327.8083459	-327.7954856
1.22	-327.6313875	-327.8510841	-327.8381666
1.24	-327.6696267	-327.8897249	-327.8767477
1.26	-327.7041599	-327.9246841	-327.9116444
1.28	-327.735358	-327.9563347	-327.9432301
1.3	-327.7635542	-327.9850112	-327.971839
1.32	-327.7890472	-328.0110129	-327.9977709
1.34	-327.8121053	-328.0346078	-328.0212937
1.36	-327.8329692	-328.0560349	-328.0426469
1.38	-327.8518552	-328.0755075	-328.062044
